Endpoint | Auth Required | Status | Response Time | Result | Description
---------|---------------|---------|---------------|---------|-------------
POST /auth/firebase | Public | 400 | 0.041917s | ❌ FAIL (Expected 200, got 400) | Firebase authentication for all users
GET /api/hotels/topThree | Public | 200 | 0.095147s | ✅ PASS | Get top 3 hotels for homepage display
GET /api/hotels/details/1 | Public | 404 | 0.017907s | ❌ FAIL (Expected 200, got 404) | Get detailed hotel information by ID
GET /api/hotels | Public | 403 | 0.010469s | ❌ FAIL (Expected 200, got 403) | Get all hotels with pagination
GET /api/hotels/search | Public | 403 | 0.004842s | ❌ FAIL (Expected 200, got 403) | Search hotels by criteria
GET /api/hotels/sortedByLowestPrice | Public | 403 | 0.005434s | ❌ FAIL (Expected 200, got 403) | Get hotels sorted by lowest price
GET /api/hotels/sortedByHighestPrice | Public | 403 | 0.003900s | ❌ FAIL (Expected 200, got 403) | Get hotels sorted by highest price
GET /api/hotels/superAdmin | Protected | 403 | 0.003276s | ✅ PASS (Correctly protected with role check) | Get all hotels for super admin management
POST /api/hotels/1/verify | Protected | 403 | 0.003595s | ✅ PASS (Correctly protected with role check) | Verify a hotel (admin approval)
GET /api/hotels/1 | Protected | 403 | 0.014863s | ✅ PASS (Correctly protected with role check) | Get hotel information by user ID
POST /api/hotels/1 | Protected | 403 | 0.004552s | ✅ PASS (Correctly protected with role check) | Create new hotel listing
PUT /api/hotels/1 | Protected | 403 | 0.005051s | ✅ PASS (Correctly protected with role check) | Update hotel information
DELETE /api/hotels/1 | Protected | 403 | 0.004895s | ✅ PASS (Correctly protected with role check) | Delete hotel and all associated data
GET /api/rooms/1 | Public | 403 | 0.004810s | ❌ FAIL (Expected 200, got 403) | Get room by ID
GET /api/rooms/available/1 | Public | 200 | 0.045503s | ✅ PASS | Get available rooms for booking
GET /api/rooms/hotel/1 | Protected | 403 | 0.004567s | ✅ PASS (Correctly protected with role check) | Get all rooms for a specific hotel
POST /api/rooms/hotel/1 | Protected | 403 | 0.005661s | ✅ PASS (Correctly protected with role check) | Create new room for hotel
PUT /api/rooms/1 | Protected | 403 | 0.005325s | ✅ PASS (Correctly protected with role check) | Update room information
DELETE /api/rooms/1 | Protected | 403 | 0.006040s | ✅ PASS (Correctly protected with role check) | Delete room
PATCH /api/rooms/1/availability | Protected | 403 | 0.017163s | ✅ PASS (Correctly protected with role check) | Toggle room availability
